date,predicted_price,predicted_activity,price_lower,price_upper,commodity
2025-06-12,2004.680111321146,6.255412641027263,1509.9787739688047,2499.3814486734873,Onion
2025-06-13,2045.036901147491,7.084527984222771,1550.33556379515,2539.7382384998323,Onion
2025-06-14,2203.037062159214,3.8726110178802706,1708.335724806873,2697.738399511555,Onion
2025-06-15,2291.657338046094,3.526066786260013,1796.956000693753,2786.3586753984355,Onion
2025-06-16,2362.112979257172,4.3358037966757825,1867.4116419048307,2856.8143166095133,Onion
2025-06-17,2426.1463460925384,5.124907204686329,1931.4450087401972,2920.8476834448793,Onion
2025-06-18,2673.0940326242912,5.483469774577208,2178.3926952719503,3167.795369976632,Onion
2025-06-19,2665.725195804129,3.547841819701202,2171.0238584517874,3160.42653315647,Onion
2025-06-20,2895.11897610224,3.0804692801663545,2400.417638749899,3389.820313454581,Onion
2025-06-21,2970.364166745162,1.6650798820649446,2475.6628293928206,3465.0655040975034,Onion
2025-06-22,2946.612521247375,4.5998203216372655,2451.911183895034,3441.313858599716,Onion
2025-06-23,3126.3014959803368,4.08612157018763,2631.6001586279954,3621.002833332678,Onion
2025-06-24,3322.5940477450636,4.044817194060335,2827.8927103927226,3817.2953850974045,Onion
2025-06-25,3361.959804629033,5.9403740791203425,2867.2584672766916,3856.6611419813744,Onion
2025-06-26,3221.711353872657,6.812848720187915,2727.0100165203157,3716.4126912249985,Onion
2025-06-27,3192.751180952344,5.286186405335042,2698.0498436000025,3687.4525183046853,Onion
2025-06-28,3099.8480140689912,2.5795991164972145,2605.1466767166503,3594.549351421332,Onion
2025-06-29,3407.1121692925685,2.852357853894686,2912.4108319402276,3901.8135066449095,Onion
2025-06-30,3392.877012413643,5.053893162959052,2898.175675061302,3887.578349765984,Onion
2025-07-01,3530.451480326736,3.6097558249658412,3035.750142974395,4025.152817679077,Onion
2025-07-02,3522.1093220018456,6.271891507691281,3027.407984649504,4016.810659354187,Onion
2025-07-03,3487.74830579612,5.986598269082421,2993.0469684437785,3982.4496431484613,Onion
2025-07-04,3571.7512310591674,4.541165891887645,3077.049893706826,4066.4525684115088,Onion
2025-07-05,3509.4249097480274,3.435444867471517,3014.7235723956865,4004.1262471003683,Onion
2025-07-06,3471.8195959110462,1.5401143367436196,2977.118258558705,3966.5209332633876,Onion
2025-07-07,3567.979104123421,5.0877741735230915,3073.2777667710798,4062.6804414757626,Onion
2025-07-08,3594.6646583787624,5.594301223815033,3099.963321026421,4089.365995731104,Onion
2025-07-09,3664.4570172809745,6.6122172457566695,3169.755679928633,4159.158354633316,Onion
2025-07-10,3740.2669099905415,6.170026860614953,3245.5655726382,4234.968247342883,Onion
2025-07-11,3978.7235294540137,3.6284127635360823,3484.0221921016728,4473.424866806355,Onion
2023-11-07,1934.9243929359825,4.70229138300007,600.9711225653525,3268.8776633066127,Tomato
2023-11-08,1934.9243929359825,3.0717939492902158,600.9711225653525,3268.8776633066127,Tomato
2023-11-09,1998.180113400262,4.133375237373896,664.2268430296319,3332.1333837708917,Tomato
2023-11-10,1934.9243929359825,4.410287948804841,600.9711225653525,3268.8776633066127,Tomato
2023-11-11,1934.9243929359825,3.722250984046945,600.9711225653525,3268.8776633066127,Tomato
2023-11-12,1934.9243929359825,1.0,600.9711225653525,3268.8776633066127,Tomato
2023-11-13,1934.9243929359825,6.440869852421098,600.9711225653525,3268.8776633066127,Tomato
2023-11-14,1934.9243929359825,5.47329839442052,600.9711225653525,3268.8776633066127,Tomato
2023-11-15,1934.9243929359825,3.6581188980396826,600.9711225653525,3268.8776633066127,Tomato
2023-11-16,1934.9243929359825,5.1065118044978615,600.9711225653525,3268.8776633066127,Tomato
2023-11-17,1934.9243929359825,4.843266337355992,600.9711225653525,3268.8776633066127,Tomato
2023-11-18,2006.470118160091,5.161907307565254,672.516847789461,3340.4233885307212,Tomato
2023-11-19,1936.110080171542,2.8725749140500394,602.156809800912,3270.063350542172,Tomato
2023-11-20,2074.1371663024483,5.815859369127142,740.1838959318184,3408.0904366730783,Tomato
2023-11-21,1950.6927678504312,6.9620792767535455,616.7394974798012,3284.646038221061,Tomato
2023-11-22,2027.2951142124484,7.269491384412614,693.3418438418184,3361.2483845830784,Tomato
2023-11-23,1934.9243929359825,4.383848475523406,600.9711225653525,3268.8776633066127,Tomato
2023-11-24,1934.9243929359825,6.452639162913288,600.9711225653525,3268.8776633066127,Tomato
2023-11-25,1934.9243929359825,2.3808760866111083,600.9711225653525,3268.8776633066127,Tomato
2023-11-26,1934.9243929359825,3.092394497039169,600.9711225653525,3268.8776633066127,Tomato
2023-11-27,2539.225661472899,5.957204800109549,1205.272391102269,3873.178931843529,Tomato
2023-11-28,2388.7886813517457,4.231186217645705,1054.8354109811157,3722.7419517223757,Tomato
2023-11-29,2536.5102227349134,3.636229614225,1202.5569523642835,3870.4634931055434,Tomato
2023-11-30,2495.166419577571,4.036932653361137,1161.2131492069411,3829.119689948201,Tomato
2023-12-01,2438.6848628208486,4.2477814738142206,1104.7315924502186,3772.6381331914786,Tomato
2023-12-02,2623.147620635851,3.9902555756098077,1289.1943502652211,3957.100891006481,Tomato
2023-12-03,2415.6754164996487,5.0026765214694855,1081.7221461290187,3749.6286868702787,Tomato
2023-12-04,2128.2600231515835,4.8155362417482435,794.3067527809535,3462.2132935222135,Tomato
2023-12-05,2738.1876042225053,5.817402042887058,1404.2343338518754,4072.1408745931353,Tomato
2023-12-06,2691.7480832021038,3.1285352083839113,1357.7948128314738,4025.7013535727338,Tomato
